name,Data_2021,Riserve_2021,Perc_2021,Giorno
EU,2021-01-01,"821,0477","73,69",1
EU,2021-01-02,"815,2042","73,16",2
EU,2021-01-03,"808,9404","72,6",3
EU,2021-01-04,"800,5067","71,84",4
EU,2021-01-05,"791,3538","71,02",5
EU,2021-01-06,"782,6135","70,24",6
EU,2021-01-07,"772,7991","69,36",7
EU,2021-01-08,"762,8765","68,46",8
EU,2021-01-09,"754,1225","67,68",9
EU,2021-01-10,"745,6101","66,91",10
EU,2021-01-11,"735,5692","66,01",11
EU,2021-01-12,"725,8476","65,14",12
EU,2021-01-13,"716,6158","64,31",13
EU,2021-01-14,"706,653","63,42",14
EU,2021-01-15,"695,9823","62,46",15
EU,2021-01-16,"686,5395","61,61",16
EU,2021-01-17,"677,497","60,8",17
EU,2021-01-18,"667,1858","59,88",18
EU,2021-01-19,"658,1635","59,07",19
EU,2021-01-20,"650,8207","58,41",20
EU,2021-01-21,"644,4758","57,84",21
EU,2021-01-22,"637,869","57,25",22
EU,2021-01-23,"631,8241","56,7",23
EU,2021-01-24,"625,5707","56,14",24
EU,2021-01-25,"616,7901","55,35",25
EU,2021-01-26,"608,1738","54,58",26
EU,2021-01-27,"599,4272","53,8",27
EU,2021-01-28,"592,1301","53,15",28
EU,2021-01-29,"586,0168","52,6",29
EU,2021-01-30,"580,3435","52,09",30
EU,2021-01-31,"573,956","51,51",31
EU,2021-02-01,"566,5313","50,85",32
EU,2021-02-02,"559,9238","50,26",33
EU,2021-02-03,"554,7458","49,79",34
EU,2021-02-04,"549,0209","49,28",35
EU,2021-02-05,"543,6521","48,79",36
EU,2021-02-06,"539,2035","48,4",37
EU,2021-02-07,"533,2874","47,86",38
EU,2021-02-08,"524,0735","47,04",39
EU,2021-02-09,"514,1995","46,15",40
EU,2021-02-10,"504,1313","45,25",41
EU,2021-02-11,"494,1578","44,35",42
EU,2021-02-12,"483,9908","43,44",43
EU,2021-02-13,"474,4514","42,59",44
EU,2021-02-14,"465,8854","41,82",45
EU,2021-02-15,"457,0883","41,03",46
EU,2021-02-16,"450,3977","40,43",47
EU,2021-02-17,"445,1472","39,96",48
EU,2021-02-18,"440,1747","39,51",49
EU,2021-02-19,"435,4163","39,08",50
EU,2021-02-20,"432,5183","38,82",51
EU,2021-02-21,"430,3257","38,63",52
EU,2021-02-22,"426,3023","38,27",53
EU,2021-02-23,"423,1037","37,98",54
EU,2021-02-24,"421,0003","37,79",55
EU,2021-02-25,"418,214","37,54",56
EU,2021-02-26,"415,4886","37,3",57
EU,2021-02-27,"413,2637","37,1",58
EU,2021-02-28,"410,6098","36,86",59
EU,2021-03-01,"406,6543","36,5",60
EU,2021-03-02,"403,0033","36,18",61
EU,2021-03-03,"399,3541","35,85",62
EU,2021-03-04,"395,1388","35,47",63
EU,2021-03-05,"390,5828","35,06",64
EU,2021-03-06,"387,0599","34,74",65
EU,2021-03-07,"383,4557","34,42",66
EU,2021-03-08,"378,3844","33,97",67
EU,2021-03-09,"373,3726","33,52",68
EU,2021-03-10,"369,736","33,19",69
EU,2021-03-11,"367,5112","32,99",70
EU,2021-03-12,"365,734","33,02",71
EU,2021-03-13,"364,5254","32,72",72
EU,2021-03-14,"363,0216","32,59",73
EU,2021-03-15,"360,6796","32,34",74
EU,2021-03-16,"357,5545","32,06",75
EU,2021-03-17,"354,1737","31,76",76
EU,2021-03-18,"350,0699","31,39",77
EU,2021-03-19,"346,407","31,06",78
EU,2021-03-20,"343,8842","30,84",79
EU,2021-03-21,"342,0812","30,67",80
EU,2021-03-22,"338,6321","30,37",81
EU,2021-03-23,"335,9108","30,12",82
EU,2021-03-24,"334,0317","29,95",83
EU,2021-03-25,"332,8293","29,85",84
EU,2021-03-26,"333,0276","29,86",85
EU,2021-03-27,"333,4407","29,93",86
EU,2021-03-28,"334,0153","29,95",87
EU,2021-03-29,"334,176","29,97",88
EU,2021-03-30,"336,0529","30,13",89
EU,2021-03-31,"336,8874","30,06",90
EU,2021-04-01,"341,9733","30,62",91
EU,2021-04-02,"343,9872","30,8",92
EU,2021-04-03,"346,2118",31,93
EU,2021-04-04,"348,4042","31,19",94
EU,2021-04-05,"349,3308","31,28",95
EU,2021-04-06,"347,4049","31,11",96
EU,2021-04-07,"344,3048","30,83",97
EU,2021-04-08,"341,628","30,59",98
EU,2021-04-09,"339,9414","30,44",99
EU,2021-04-10,"339,4998","30,4",100
EU,2021-04-11,"339,6504","30,41",101
EU,2021-04-12,"336,7708","30,15",102
EU,2021-04-13,"333,4561","29,86",103
EU,2021-04-14,"330,3504","29,59",104
EU,2021-04-15,"327,6777","29,35",105
EU,2021-04-16,"326,131","29,21",106
EU,2021-04-17,"326,0336","29,2",107
EU,2021-04-18,"326,4363","29,24",108
EU,2021-04-19,"325,8853","29,19",109
EU,2021-04-20,"325,8445","29,19",110
EU,2021-04-21,"326,537","29,25",111
EU,2021-04-22,"327,2712","29,31",112
EU,2021-04-23,"328,2049","29,4",113
EU,2021-04-24,"330,8677","29,66",114
EU,2021-04-25,"333,4928","29,87",115
EU,2021-04-26,"334,5098","29,96",116
EU,2021-04-27,"335,3373","30,04",117
EU,2021-04-28,"336,4215","30,13",118
EU,2021-04-29,"337,448","30,23",119
EU,2021-04-30,"335,3718","30,04",120
EU,2021-05-01,"337,7081","30,2",121
EU,2021-05-02,"340,1204","30,42",122
EU,2021-05-03,"341,2148","30,52",123
EU,2021-05-04,"342,5554","30,64",124
EU,2021-05-05,"342,8794","30,67",125
EU,2021-05-06,"342,856","30,66",126
EU,2021-05-07,"343,3872","30,71",127
EU,2021-05-08,"346,5108","30,99",128
EU,2021-05-09,"351,0273","31,39",129
EU,2021-05-10,"355,1399","31,76",130
EU,2021-05-11,"358,6187","32,07",131
EU,2021-05-12,"361,8049","32,36",132
EU,2021-05-13,"365,5234","32,67",133
EU,2021-05-14,"368,9592",33,134
EU,2021-05-15,"372,6571","33,33",135
EU,2021-05-16,"376,4615","33,67",136
EU,2021-05-17,"378,8017","33,88",137
EU,2021-05-18,"380,3834","34,02",138
EU,2021-05-19,"382,1847","34,18",139
EU,2021-05-20,"385,0487","34,44",140
EU,2021-05-21,"388,5283","34,75",141
EU,2021-05-22,"392,4898","35,1",142
EU,2021-05-23,"396,6418","35,47",143
EU,2021-05-24,"400,2024","35,79",144
EU,2021-05-25,"402,8199","36,03",145
EU,2021-05-26,"404,9537","36,22",146
EU,2021-05-27,"406,7519","36,38",147
EU,2021-05-28,"409,5435","36,63",148
EU,2021-05-29,"414,1038","37,04",149
EU,2021-05-30,"418,8897","37,46",150
EU,2021-05-31,"421,4647","37,69",151
EU,2021-06-01,"425,5783","38,05",152
EU,2021-06-02,"430,1914","38,47",153
EU,2021-06-03,"434,6877","38,87",154
EU,2021-06-04,"439,0555","39,26",155
EU,2021-06-05,"443,808","39,68",156
EU,2021-06-06,"448,6736","40,12",157
EU,2021-06-07,"452,2068","40,43",158
EU,2021-06-08,"455,6444","40,74",159
EU,2021-06-09,"458,1944","40,97",160
EU,2021-06-10,"461,419","41,26",161
EU,2021-06-11,"464,9383","41,57",162
EU,2021-06-12,"469,7646",42,163
EU,2021-06-13,"474,8529","42,46",164
EU,2021-06-14,"478,8093","42,81",165
EU,2021-06-15,"482,0448","43,1",166
EU,2021-06-16,"485,1431","43,38",167
EU,2021-06-17,"488,2062","43,65",168
EU,2021-06-18,"492,0012","43,99",169
EU,2021-06-19,"496,379","44,38",170
EU,2021-06-20,"500,8006","44,78",171
EU,2021-06-21,"504,117","45,08",172
EU,2021-06-22,"506,31","45,27",173
EU,2021-06-23,"508,5268","45,47",174
EU,2021-06-24,"510,9246","45,69",175
EU,2021-06-25,"513,7864","45,94",176
EU,2021-06-26,"517,8818","46,31",177
EU,2021-06-27,"522,2843","46,7",178
EU,2021-06-28,"525,5984",47,179
EU,2021-06-29,"528,7683","47,28",180
EU,2021-06-30,"531,8101","47,55",181
EU,2021-07-01,"535,0999","47,84",182
EU,2021-07-02,"537,9862","48,1",183
EU,2021-07-03,"542,6611","48,52",184
EU,2021-07-04,"547,5832","48,96",185
EU,2021-07-05,"551,7194","49,33",186
EU,2021-07-06,"554,7247","49,6",187
EU,2021-07-07,"557,252","49,82",188
EU,2021-07-08,"559,7468","50,04",189
EU,2021-07-09,"562,9844","50,33",190
EU,2021-07-10,"567,5261","50,74",191
EU,2021-07-11,"572,1737","51,16",192
EU,2021-07-12,"575,4271","51,45",193
EU,2021-07-13,"577,237","51,61",194
EU,2021-07-14,"579,1653","51,78",195
