"","Settimana","2021","Entrata Tarvisio 21","Entrata Gela 21","Entrata Gorizia 21","Entrata Mazara 21","Entrata P.Gries 21","Entrata Melendugno 21","GNL Cavarzere 21","GNL Livorno 21","GNL Panigaglia 21","Prod Nazionale 21","Sistemi di stoccaggio 21","GNL_tot_21"
"1",1,494.9,210.9,24.9,0,180.6,0,32.6,40.4,0,5.7,29.2,208.2,46
"2",2,1365,719.4,58.5,0,380.4,23.4,76.7,101.6,0,4.7,68.3,773.8,106.7
"3",3,1576,764.8,71.8,3.7,419.6,97.5,76.9,141.1,0,0,67.7,817.7,141.4
"4",4,1440.7,702.6,56.6,0,406.7,71.3,77,126.1,0,0,68.5,811,126.4
"5",5,1404.9,647.9,64,0,461.1,5.9,77,139.5,0,9.4,68.1,752.1,148.9
"6",6,1152.6,374.8,73.8,0,468.4,21.1,74.9,113.8,0,26,69.4,687.1,139.7
"7",7,1221.7,410.4,76.4,0,465.7,50,76.4,137.5,0,5.7,69.1,781.7,143.4
"8",8,1365.2,428.1,63.4,0,466.2,129.2,73.8,146.7,0,57.8,68.5,601.4,204.6
"9",9,1107.7,256.4,76.4,0,463.6,33.8,67.1,134.4,31.5,44.5,69.1,477.5,210.5
"10",10,1251.4,398.6,75.3,0,471.2,7,77,147,29.9,45.6,68.2,472.9,222.5
"11",11,1390,513.4,77.6,0,472.4,13.9,74.9,146.7,40,51.3,68.6,294.6,238
"12",12,1440.7,599.8,70.6,0,472.6,6.5,67.3,146.5,62.5,15,68,325.6,224
"13",13,1474.6,599.2,74,0,476.2,7.2,67.8,132.2,87.8,30.1,66.5,129.1,250.1
"14",14,1362,496.5,44.3,0,448.8,7.1,77,166.8,89.8,31.7,66.9,-277.6,288.5
"15",15,1591.9,643.5,32.3,0.5,436.6,52,92.8,180.4,87.4,66.7,65.9,-179.4,334.2
"16",16,1777.7,682.2,53.4,1.6,436.1,193.5,106.3,176.4,77.4,50.5,63.3,-176.1,304.2
"17",17,1724.1,650.8,76.8,0,436.9,119.7,142,156.7,75.3,66.2,59.2,-378.2,298.1
"18",18,1577.3,543,82.7,2.5,433,105.5,162.5,159.2,37.5,51.1,46,-460.9,247.7
"19",19,1587.9,670.6,73,0,420.7,27.3,174.8,152.9,1.7,66.7,46.7,-592,221.3
"20",20,1564.9,612,78.9,0.1,434.4,12.4,158.1,159.3,43,67,46.3,-653.3,269.2
"21",21,1496.2,645.5,73.2,0,417.9,14.5,28.3,158.6,94.2,63.8,45.4,-613.2,316.7
"22",22,1450.6,677.8,67.7,0,421.2,46.2,126.4,17.8,81.9,11.6,41.2,-550.7,111.2
"23",23,1344.2,506.8,66.1,0,394.1,7.3,143.9,165.8,60.1,0,42.9,-495.4,225.7
"24",24,1373.4,484.4,63.8,0,392.8,4,146.2,191.7,90.5,0,53.6,-481.2,282
"25",25,1349.4,508.1,34.7,0,379.4,4.9,161.8,191.1,69,0,54.2,-405.8,260.6
"26",26,1257,467.8,14,1.3,369.9,14.3,145.5,164.9,79.2,0,54.7,-278.3,244.3
"27",27,1298.1,534.3,42.4,1.6,366.1,20.4,150.6,138.7,44,0,55,-295.9,182.8
"28",28,1321.9,526.5,73.8,0,356.8,0,163.5,146.8,54.3,0,58.7,-351,201.3
"29",29,1299.7,557,64.5,0,371.3,5.3,166,132.5,0,3,59.6,-346.1,135.4
"30",30,1385.9,535.2,62.9,0,380.9,4,178.7,158.9,0,65.1,57.7,-357.7,223.9
"31",31,1392.3,522.2,68.2,0,362.4,1.2,193.1,167.2,6.1,72,57.3,-349.8,245.3
"32",32,1269.5,486.7,71.7,0,300.3,0,172.8,146.8,72.6,18.8,59.2,-376.3,238.1
"33",33,1159.1,481.4,64.7,0,305.7,0,165.4,102.9,13.6,25.4,58,-392.7,141.7
"34",34,1108.9,466.7,68.4,0,289.2,0,169.4,96.7,0,18.7,59.7,-383.3,115.3
"35",35,1167.1,511.5,59.1,1.1,292.9,5.9,185,110.9,0,0.7,59.7,-303.4,111.4
"36",36,1186.4,452.3,56.6,1.3,346.1,9,173.4,146.8,0,0.6,60.3,-155.7,147.4
"37",37,1196.7,547.7,57.5,0.7,246.4,5.4,125.3,146.9,33,33.9,59.5,-127.5,213.7
"38",38,1207,577.9,48.5,3.2,235,26.6,153.9,116.3,32.9,12.7,58.8,-126.5,162.1
"39",39,1236.9,513,57.1,0,269.4,51.9,169.8,124.4,20.8,30.2,59.2,-180.8,175.6
"40",40,1225.4,453.8,50.4,0,338.8,71,178.2,127.6,0,5.4,60.2,-167.9,133.2
"41",41,1221.7,428.3,56.5,0,457.3,4.8,166.2,108.2,0,0,57.6,-166.7,108.2
"42",42,1340,482.6,74,0,459.6,7.5,175.6,140.7,0,0,56.8,-104.3,140.7
"43",43,1347.1,473.4,64.5,0,453,39.8,177.5,138.9,0,0,61.6,-46.3,138.9
"44",44,1358.2,520.4,67,1.1,445.9,50.3,161.9,111.6,0,0,61.7,26.5,111.7
"45",45,1222.5,391.9,68.6,0,450.7,10.5,160.3,140.3,0,0,60.5,262.2,140.3
"46",46,1339,474.7,64.5,0,458,8.1,184.2,149.5,0,0,61.2,314.3,149.5
"47",47,1336.8,480.3,67.3,0,450.2,0,189.3,149.4,0,0,61.2,410.9,149.5
"48",48,1441.3,562.2,67.1,0,446.3,27.4,189,149.1,0,0,62.1,476.4,149.2
"49",49,1608,679.9,69.3,6.7,429.8,116.3,182.5,123.3,0,0,62.2,558.5,123.3
"50",50,1681.6,697.6,51.8,3.8,430.5,182.1,177.9,137.8,0,0,60.1,584.8,138
"51",51,1683.4,697.8,40.8,2.9,440.6,179.2,174.9,147.1,0,0,59.6,595.6,147.3
"52",52,1612.5,651.7,23.6,6.5,443.4,171.4,174.8,141,0,0,60,523,141
"53",53,865.5,287.5,45.8,0,315.9,0,129.2,87.2,0,0,40.9,347.9,87.2
