DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AD,2009,1.19,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AD,2010,1.27,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2009,1.63,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2010,1.63,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2011,1.65,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2012,1.71,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2013,1.73,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2014,1.73,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2015,1.59,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2016,1.54,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2017,1.48,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2018,1.37,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AL,2020,1.34,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AM,2009,1.53,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AM,2015,1.62,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AM,2016,1.62,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AM,2017,1.56,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AM,2018,1.57,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AM,2019,1.60,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2009,1.39,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2010,1.44,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2011,1.43,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2012,1.44,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2013,1.44,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2014,1.46,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2015,1.49,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2016,1.53,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2017,1.52,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2018,1.47,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2019,1.46,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AT,2020,1.44,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2009,1.82,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2010,1.92,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2012,2.00,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2013,1.98,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2014,1.97,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2015,1.94,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2016,1.90,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2017,1.75,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2018,1.73,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,AZ,2019,1.81,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2009,1.84,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2010,1.86,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2011,1.81,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2012,1.80,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2013,1.76,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2014,1.74,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2015,1.70,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2016,1.68,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2017,1.65,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2018,1.62,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2019,1.60,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BE,2020,1.55,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2009,1.66,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2010,1.57,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2011,1.51,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2012,1.50,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2013,1.48,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2014,1.53,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2015,1.53,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2016,1.54,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2017,1.56,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2018,1.56,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2019,1.58,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BG,2020,1.56,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BY,2011,1.51,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BY,2012,1.62,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BY,2013,1.67,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BY,2014,1.70,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BY,2015,1.72,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BY,2016,1.73,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BY,2017,1.54,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,BY,2018,1.45,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,CH,2009,1.50,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,CH,2010,1.52,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,CH,2011,1.52,b
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,CH,2012,1.52,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,CH,2013,1.52,
